RUN,TP,CODE,DYNAMIC PRESSURE,TEMP TS,BALANCE TEMP,PRESS TS,N1,N2,S1,S2,A1,R1,Lift (lbf),Drag (lbf),Pitch (in-lbf),Yaw (in-lbf),Side (lbf),Roll (in-lbf),Alpha,Beta
1,1,1,0,0,0,0,0.119418,0.169329,-0.075334,0.116336,6.687443,0.008277,-48.289733,162.4657,12.69943,40.507958,-5.783576,0,0,0
1,2,0,0.136033,77.903556,4188.847333,14.888905,-0.000506,0.00004,-0.000015,0.000014,0.024844,-0.000214,0.07607,0.605506,0.118783,0.005462,-0.003222,0,15,0
2,1,1,0,0,0,0,0.119224,0.169237,-0.075367,0.116278,6.686953,0.008248,-48.242348,162.454132,12.722013,40.501914,-5.770114,0,0,0
2,2,0,14.932719,81.442834,4188.702508,14.768539,-0.000617,-0.000152,-0.00004,0.000053,0.00653,-0.000041,0.126146,0.159745,0.104186,0.017247,-0.007825,0,0,0
2,3,0,14.933729,82.157778,4188.629421,14.768581,-0.00114,-0.000091,-0.000053,0.000017,0.015474,-0.000145,0.202221,0.377933,0.236552,0.009086,-0.002406,0,5,0
2,4,0,14.923761,82.158005,4188.549503,14.768253,-0.002021,0.000255,-0.000046,-0.000007,0.024284,-0.000284,0.290255,0.592577,0.519837,-0.006198,-0.002693,0,10,0
2,5,0,14.911399,82.419331,4188.456773,14.76833,-0.003192,0.000563,0.000197,-0.000194,0.032554,-0.000525,0.433188,0.794364,0.857475,-0.10734,-0.015588,0,15,0
2,6,0,14.911161,82.557155,4188.361512,14.768663,-0.003394,0.000587,-0.00014,-0.000091,0.032319,-0.000577,0.462018,0.788855,0.91395,-0.016451,0.020246,0,15,4
2,7,0,14.900443,82.718242,4188.313094,14.767319,-0.002205,0.00012,-0.00068,0.000153,0.023806,-0.00027,0.341901,0.581575,0.536938,0.16074,0.070382,0,10,4
2,8,0,14.885866,83.147931,4188.236566,14.768263,-0.001314,-0.000228,-0.00057,0.000069,0.014666,-0.000124,0.253105,0.358928,0.249326,0.128777,0.070308,0,5,4
2,9,0,14.760766,83.398594,4188.069575,14.769342,-0.000787,-0.000442,-0.000548,0.000106,0.004568,0.000064,0.201526,0.112859,0.079366,0.13665,0.062398,0,0,4
2,10,0,14.726479,83.640256,4188.041444,14.768774,-0.000783,-0.000505,-0.001123,0.000294,0.00505,0.000076,0.210317,0.124909,0.070189,0.297967,0.122739,0,0,8
2,11,0,14.731659,83.537903,4188.063708,14.76875,-0.001406,-0.00036,-0.001197,0.000299,0.013601,-0.00005,0.288615,0.333448,0.246678,0.309771,0.130955,0,5,8
2,12,0,14.729086,83.652089,4188.055088,14.769764,-0.002308,0.000025,-0.001178,0.000298,0.022128,-0.000224,0.373649,0.541136,0.544209,0.296372,0.124969,0,10,8
2,13,0,14.721487,83.939139,4188.054362,14.768216,-0.003498,0.000334,-0.001048,0.000272,0.030609,-0.000346,0.518771,0.747964,0.88897,0.252376,0.102797,0,15,8
2,14,0,14.704512,83.830596,4188.083143,14.768775,-0.003547,0.000361,-0.001335,0.0004,0.030423,-0.000353,0.521752,0.743482,0.910239,0.339351,0.127334,0,15,10
2,15,0,14.710373,84.060209,4188.073193,14.769229,-0.002425,-0.000048,-0.001508,0.000453,0.022004,-0.000169,0.404239,0.538391,0.557893,0.398136,0.15057,0,10,10
2,16,0,14.719046,84.421859,4188.099015,14.769464,-0.001557,-0.000363,-0.001491,0.000477,0.013257,-0.00005,0.313091,0.325209,0.284848,0.407881,0.147062,0,5,10
2,17,0,14.713398,84.281804,4188.118275,14.770496,-0.000792,-0.000591,-0.001525,0.000461,0.004275,0.000133,0.225063,0.106305,0.056638,0.418318,0.158711,0,0,10
3,1,1,0,0,0,0,0.16466,0.133375,-0.076276,0.116696,6.682866,0.018295,-49.825608,162.385355,-6.37001,41.464238,-5.66234,0,0,0
3,2,0,0.584637,80.279057,4193.356912,14.873591,-0.001971,0.001151,0.000152,-0.000101,0.040605,-0.000558,0.134684,0.988584,0.716467,-0.073386,-0.011941,0,15,0
4,1,0,15.201995,82.188915,4193.304204,14.754786,0.000019,-0.0002,0.000229,-0.000038,0.006479,-0.000408,0.02988,0.158046,-0.057167,-0.053326,-0.032109,0,0,0
4,2,0,15.18223,82.360725,4193.229387,14.755052,-0.008751,0.006386,0.000394,-0.000136,0.020811,-0.001671,0.390485,0.50186,3.543061,-0.235411,-0.050836,0,5,0
4,3,0,15.174298,82.91691,4193.168036,14.756249,-0.014449,0.01049,0.000575,-0.000167,0.036241,-0.002652,0.653288,0.874501,5.837285,-0.359873,-0.081722,0,10,0
4,4,0,15.137613,83.671878,4193.029368,14.75479,-0.018041,0.012896,0.000638,-0.000201,0.051091,-0.003502,0.848652,1.234579,7.238817,-0.4283,-0.092027,0,15,0
4,5,0,14.957072,83.755669,4192.92624,14.756994,-0.018107,0.012624,-0.001339,0.001219,0.050772,-0.003485,0.89692,1.227163,7.217469,0.288279,-0.017096,0,15,4
4,6,0,14.9141,84.068168,4192.820106,14.756929,-0.014654,0.010129,-0.001649,0.00129,0.035512,-0.003111,0.738793,0.857477,5.829164,0.416081,0.02516,0,10,4
4,7,0,14.901917,84.528679,4192.744626,14.757967,-0.009271,0.006131,-0.00165,0.00125,0.018921,-0.001753,0.51089,0.456544,3.631101,0.484384,0.038003,0,5,4
4,8,0,14.893244,84.595281,4192.721151,14.756782,-0.000383,-0.000388,-0.001716,0.001247,0.00382,-0.000293,0.120439,0.093825,0.01867,0.624561,0.059175,0,0,4
4,9,0,14.869143,85.066931,4192.633901,14.757018,-0.000664,-0.000342,-0.003944,0.002761,0.00459,-0.000225,0.151099,0.112598,0.125989,1.409099,0.159421,0,0,8
4,10,0,14.866331,84.847333,4192.592674,14.757558,-0.009059,0.005857,-0.003856,0.002764,0.018304,-0.001852,0.513196,0.441721,3.548217,1.270885,0.135483,0,5,8
4,11,0,14.871967,85.626129,4192.522725,14.757362,-0.015935,0.010811,-0.003544,0.002608,0.033551,-0.003048,0.830714,0.809284,6.316471,1.075574,0.103361,0,10,8
4,12,0,14.842127,85.125968,4192.498204,14.758243,-0.018803,0.012697,-0.003442,0.002582,0.048833,-0.003647,0.99243,1.180273,7.425553,1.011189,0.086213,0,15,8
4,13,0,14.827176,85.487185,4192.468129,14.757847,-0.019459,0.012977,-0.004685,0.003403,0.048918,-0.003934,1.05015,1.18228,7.661577,1.43763,0.144793,0,15,10
4,14,0,14.832355,85.642715,4192.462255,14.758066,-0.016396,0.010826,-0.004623,0.003269,0.033909,-0.003284,0.900746,0.81835,6.441258,1.437911,0.162018,0,10,10
